HDAC6_measured;WPATH;WPOL;MLogP;nAromRings;nRings5;nRings6;SC-5;VC-3;VC-5;HybRatio;nAromBond;nAtomLAC;MDEC-11;MDEC-12;MDEC-22;MDEC-33;MDEO-11;MDEO-12;MDEO-22;MDEN-22;MDEN-23;MDEN-33;ALogP;Wlambda1.unity;Wlambda2.unity;Wnu1.unity;Wnu2.unity;Weta1.unity;Weta2.unity;Weta3.unity;WA.unity;WK.unity;WD.unity;khs.ssCH2;khs.dsCH;khs.aaCH;khs.aasC;khs.ssNH;khs.aaN;khs.sssN;khs.ssO;khs.sF;khs.sCl;nHBDon;BCUTw-1l;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;PetitjeanNumber;geomShape;bpol;XLogP;LipinskiFailures;WTPT-2;WTPT-3;WTPT-4;nRotB;MOMI-Z;MOMI-XY;MOMI-XZ;MOMI-R;FMF;ATSc1;ATSc2;ATSc3;ATSc4;ATSc5;PPSA-2;PNSA-1;DPSA-1;DPSA-3;FPSA-1;RPCS;RNCS;THSA;TPSA;RHSA;LOBMAX;SCH-7;VCH-5;VCH-6;C1SP2;C2SP2;C1SP3;C2SP3;SPC-6;VPC-5;tpsaEfficiency;nAtomP
1;1640.0;39.0;2.67;3.0;0.0;3.0;0.298;0.613;0.0953;0.167;17.0;2.0;0.2;3.5;8.97;5.56;0.333;0.577;0.0;0.483;0.75;0.0;2.37;2.65;3.34;0.125;0.158;0.344;0.464;0.459;99.6;0.288;1.27;1.0;0.0;8.0;4.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.336;0.249;3.82;10.8;0.5;0.758;26.5;2.55;0.0;2.03;20.1;7.9;6.0;1260.0;1.02;4.84;8.15;0.395;0.544;-0.252;-0.0843;0.0186;0.0637;817.0;219.0;170.0;65.0;0.64;0.848;1.53;465.0;143.0;0.764;1.33;0.38;0.0;0.0681;3.0;11.0;2.0;0.0;8.08;1.55;0.259;18.0
0;1490.0;37.0;2.56;3.0;0.0;3.0;0.298;0.513;0.0953;0.118;17.0;2.0;0.0;2.3;10.7;4.01;0.333;0.577;0.0;0.483;0.75;0.0;2.38;1.69;3.2;0.0832;0.158;0.239;0.452;0.479;80.6;0.319;1.17;1.0;0.0;9.0;3.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.336;0.249;3.82;10.5;0.5;0.758;24.3;2.24;0.0;2.04;20.2;7.9;6.0;1040.0;1.05;5.63;7.92;0.425;0.552;-0.285;-0.0418;-0.00362;0.0825;740.0;222.0;130.0;69.8;0.613;0.847;1.53;419.0;156.0;0.728;1.46;0.35;0.0;0.07;2.0;11.0;1.0;0.0;6.94;1.4;0.27;18.0
0;2420.0;46.0;2.89;3.0;0.0;3.0;0.382;0.663;0.109;0.286;17.0;4.0;0.426;5.12;9.76;7.19;0.333;0.587;0.333;0.455;0.721;0.0;2.71;2.32;4.48;0.0869;0.168;0.233;0.268;0.457;145.0;0.309;0.958;3.0;0.0;7.0;5.0;1.0;2.0;1.0;2.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.86;10.9;0.467;0.924;35.0;2.71;0.0;2.02;22.9;10.7;9.0;1850.0;1.08;5.08;9.19;0.321;0.669;-0.342;-0.00202;0.0282;-0.0828;1200.0;210.0;285.0;71.7;0.702;2.97;2.35;552.0;153.0;0.783;1.68;0.409;0.0;0.0643;3.0;11.0;2.0;2.0;9.33;1.81;0.244;19.0
0;2580.0;41.0;3.0;3.0;0.0;3.0;0.298;0.513;0.0953;0.286;17.0;6.0;0.0;2.58;17.8;3.4;0.333;0.267;0.0;0.392;0.655;0.0;3.65;1.43;3.33;0.042;0.0978;0.219;0.417;0.549;144.0;0.395;1.18;5.0;0.0;9.0;3.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.86;10.5;0.5;0.882;33.1;3.47;0.0;2.04;20.2;7.92;10.0;1370.0;1.05;9.16;9.87;0.327;0.52;-0.292;0.0743;-0.0979;0.0778;1070.0;221.0;257.0;72.4;0.683;3.17;1.92;547.0;152.0;0.782;2.06;0.35;0.0;0.07;2.0;11.0;1.0;4.0;6.86;1.44;0.23;18.0
0;3070.0;48.0;3.11;3.0;0.0;3.0;0.382;0.663;0.109;0.348;17.0;6.0;0.426;5.62;13.2;6.8;0.333;0.452;0.333;0.411;0.674;0.0;3.63;2.14;4.56;0.0639;0.137;0.218;0.268;0.471;189.0;0.35;0.957;5.0;0.0;7.0;5.0;1.0;2.0;1.0;2.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.87;10.9;0.471;0.906;39.4;3.43;0.0;2.02;23.0;10.7;11.0;2080.0;1.07;6.36;10.2;0.288;0.668;-0.346;-0.0188;0.0309;0.0486;1410.0;212.0;346.0;73.7;0.725;2.83;2.32;617.0;153.0;0.801;1.89;0.409;0.0;0.0643;3.0;11.0;2.0;4.0;9.33;1.81;0.228;19.0
0;2790.0;43.0;3.11;3.0;0.0;3.0;0.298;0.613;0.0953;0.318;17.0;6.0;0.2;4.02;15.8;4.87;0.333;0.267;0.0;0.392;0.655;0.0;3.64;2.25;3.47;0.0645;0.0992;0.243;0.444;0.533;175.0;0.377;1.22;5.0;0.0;8.0;4.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.86;10.8;0.5;0.882;35.3;3.78;0.0;2.03;20.1;7.92;10.0;1610.0;1.03;8.05;10.1;0.309;0.511;-0.259;0.0318;-0.0757;0.059;1150.0;218.0;297.0;67.5;0.703;3.17;1.93;593.0;139.0;0.81;1.86;0.38;0.0;0.0681;3.0;11.0;2.0;4.0;7.99;1.59;0.222;18.0
0;1980.0;39.0;2.78;3.0;0.0;3.0;0.298;0.513;0.0953;0.211;17.0;4.0;0.0;2.47;14.0;3.65;0.333;0.365;0.0;0.432;0.696;0.0;2.73;1.54;3.3;0.058;0.124;0.227;0.433;0.522;110.0;0.364;1.18;3.0;0.0;9.0;3.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.85;10.5;0.5;0.797;28.7;2.75;0.0;2.04;20.2;7.92;8.0;1220.0;1.05;7.16;8.9;0.37;0.521;-0.288;0.091;-0.101;-0.0569;891.0;220.0;197.0;70.7;0.655;3.33;2.02;485.0;152.0;0.761;1.76;0.35;0.0;0.07;2.0;11.0;1.0;2.0;6.86;1.44;0.249;18.0
0;2270.0;40.0;2.89;3.0;0.0;3.0;0.298;0.513;0.0953;0.25;17.0;5.0;0.0;2.53;15.9;3.52;0.333;0.309;0.0;0.411;0.674;0.0;3.19;1.48;3.37;0.0492;0.112;0.223;0.428;0.542;128.0;0.379;1.19;4.0;0.0;9.0;3.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.86;10.5;0.471;0.811;30.9;3.11;0.0;2.04;20.2;7.92;9.0;1430.0;1.07;7.14;9.43;0.347;0.52;-0.292;0.0784;-0.0853;0.062;977.0;220.0;227.0;71.2;0.671;3.26;1.97;515.0;151.0;0.773;1.93;0.35;0.0;0.07;2.0;11.0;1.0;3.0;6.86;1.44;0.239;18.0
0;2460.0;42.0;3.0;3.0;0.0;3.0;0.298;0.613;0.0953;0.286;17.0;5.0;0.2;3.92;14.0;5.0;0.333;0.309;0.0;0.411;0.674;0.0;3.19;2.35;3.5;0.0757;0.113;0.255;0.448;0.525;155.0;0.358;1.23;4.0;0.0;8.0;4.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.86;10.8;0.471;0.76;33.1;3.42;0.0;2.03;20.1;7.92;9.0;1670.0;1.05;6.31;9.63;0.327;0.511;-0.259;0.0359;-0.0631;0.0432;1060.0;216.0;268.0;66.4;0.691;3.27;1.97;561.0;139.0;0.802;1.75;0.38;0.0;0.0681;3.0;11.0;2.0;3.0;7.99;1.59;0.23;18.0
0;2730.0;47.0;3.0;3.0;0.0;3.0;0.382;0.663;0.109;0.318;17.0;5.0;0.426;5.39;11.4;6.98;0.333;0.51;0.333;0.432;0.696;0.0;3.17;2.22;4.6;0.0746;0.154;0.225;0.268;0.467;167.0;0.328;0.959;4.0;0.0;7.0;5.0;1.0;2.0;1.0;2.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.86;10.9;0.5;0.809;37.2;3.07;0.0;2.02;23.0;10.7;10.0;2160.0;1.1;5.04;9.7;0.304;0.668;-0.346;-0.0147;0.0435;0.0332;1300.0;213.0;316.0;73.2;0.713;2.9;2.37;587.0;154.0;0.792;1.78;0.409;0.0;0.0643;3.0;11.0;2.0;3.0;9.33;1.81;0.236;19.0
0;2160.0;41.0;2.89;3.0;0.0;3.0;0.298;0.613;0.0953;0.25;17.0;4.0;0.2;3.8;12.2;5.16;0.333;0.365;0.0;0.432;0.696;0.0;2.73;2.45;3.41;0.0891;0.124;0.272;0.45;0.503;135.0;0.34;1.22;3.0;0.0;8.0;4.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.85;10.8;0.5;0.797;30.9;3.07;0.0;2.03;20.1;7.92;8.0;1450.0;1.03;6.24;9.12;0.347;0.512;-0.254;0.0485;-0.0789;-0.0757;969.0;216.0;238.0;65.8;0.677;3.33;2.02;531.0;139.0;0.792;1.59;0.38;0.0;0.0681;3.0;11.0;2.0;2.0;7.99;1.59;0.239;18.0
1;4210.0;51.0;2.78;4.0;1.0;3.0;0.452;0.777;0.101;0.261;22.0;7.0;0.0;0.0;16.0;8.54;0.333;0.0;0.0;2.54;1.43;0.0;4.91;0.648;4.3;0.0137;0.0908;0.307;0.353;0.564;213.0;0.422;1.22;6.0;0.0;8.0;6.0;2.0;4.0;0.0;0.0;1.0;1.0;3.0;11.9;-0.309;0.223;3.87;10.7;0.5;0.859;32.3;4.23;0.0;2.05;31.7;4.85;11.0;2740.0;1.11;8.28;11.9;0.386;0.529;-0.214;-0.0347;-0.0229;0.0382;1220.0;333.0;141.0;88.8;0.587;2.76;3.93;634.0;172.0;0.786;2.42;0.658;0.0258;0.0937;3.0;11.0;1.0;5.0;9.12;1.8;0.244;22.0
1;3790.0;50.0;2.67;4.0;1.0;3.0;0.452;0.777;0.101;0.227;22.0;6.0;0.0;0.0;14.1;8.7;0.333;0.0;0.0;2.62;1.46;0.0;4.46;0.606;4.37;0.0141;0.102;0.306;0.364;0.564;192.0;0.413;1.23;5.0;0.0;8.0;6.0;2.0;4.0;0.0;0.0;1.0;1.0;3.0;11.9;-0.309;0.223;3.87;10.7;0.474;0.893;30.2;3.66;0.0;2.05;31.7;4.85;10.0;2820.0;1.14;6.86;11.4;0.407;0.529;-0.214;-0.0344;-0.0203;0.0475;1110.0;331.0;108.0;87.8;0.57;2.84;4.05;599.0;172.0;0.777;2.25;0.658;0.0258;0.0937;3.0;11.0;1.0;4.0;9.12;1.8;0.251;22.0
1;4270.0;50.0;2.78;4.0;1.0;3.0;0.386;0.796;0.092;0.261;22.0;7.0;0.0;0.0;16.3;7.85;0.333;0.0;0.0;2.54;1.43;0.0;4.91;0.969;4.15;0.0205;0.0876;0.383;0.415;0.57;221.0;0.419;1.37;6.0;0.0;8.0;6.0;2.0;4.0;0.0;0.0;1.0;1.0;3.0;11.9;-0.309;0.223;3.87;10.7;0.476;0.842;32.3;4.23;0.0;2.05;31.6;4.85;11.0;2260.0;1.06;10.6;11.8;0.386;0.524;-0.216;-0.00414;-0.0673;0.0536;1190.0;335.0;133.0;89.6;0.583;2.81;4.06;623.0;181.0;0.775;2.84;0.658;0.0258;0.0937;3.0;11.0;1.0;5.0;8.69;1.74;0.244;22.0
0;3840.0;49.0;2.67;4.0;1.0;3.0;0.386;0.796;0.092;0.227;22.0;6.0;0.0;0.0;14.3;8.0;0.333;0.0;0.0;2.62;1.46;0.0;4.46;0.93;4.2;0.0217;0.0977;0.38;0.421;0.57;198.0;0.41;1.37;5.0;0.0;8.0;6.0;2.0;4.0;0.0;0.0;1.0;1.0;3.0;11.9;-0.309;0.223;3.87;10.7;0.5;0.843;30.2;3.66;0.0;2.05;31.6;4.85;10.0;2330.0;1.08;8.77;11.4;0.407;0.524;-0.216;-0.00378;-0.0647;0.0629;1100.0;333.0;108.0;88.1;0.57;2.86;4.06;598.0;177.0;0.772;2.64;0.658;0.0258;0.0937;3.0;11.0;1.0;4.0;8.69;1.74;0.251;22.0
0;6710.0;60.0;3.44;5.0;1.0;4.0;0.337;0.978;0.0903;0.241;28.0;6.0;0.125;3.7;18.0;10.1;0.333;0.103;0.0;2.91;1.42;0.0;4.76;0.943;4.67;0.0153;0.0759;0.353;0.373;0.527;319.0;0.432;1.25;5.0;0.0;11.0;8.0;2.0;5.0;0.0;1.0;0.0;0.0;3.0;12.0;-0.318;0.223;3.87;10.7;0.48;0.902;41.6;3.65;2.0;2.06;32.8;7.98;12.0;2620.0;1.07;11.3;12.3;0.414;0.628;-0.283;-0.0333;0.0229;0.00852;1860.0;281.0;362.0;86.8;0.696;2.43;3.55;763.0;161.0;0.826;4.41;0.781;0.0258;0.115;4.0;14.0;3.0;4.0;10.6;2.08;0.26;29.0
0;6870.0;57.0;3.0;5.0;2.0;3.0;0.337;0.994;0.0949;0.259;27.0;7.0;0.0;0.0;19.5;8.77;0.333;0.0976;0.0;2.85;1.39;0.0;5.14;0.911;6.67;0.0141;0.103;0.363;0.44;0.531;439.0;0.412;1.33;7.0;0.0;10.0;7.0;2.0;5.0;0.0;1.0;0.0;1.0;3.0;11.9;-0.337;0.223;3.87;10.7;0.48;0.791;41.0;3.9;2.0;2.06;38.3;7.94;14.0;4170.0;1.1;8.71;13.6;0.433;0.703;-0.328;-0.0793;0.114;-0.0337;1690.0;379.0;182.0;98.2;0.597;2.37;0.628;775.0;166.0;0.824;2.57;0.711;0.117;0.158;6.0;11.0;2.0;5.0;9.32;2.24;0.291;23.0
0;7320.0;61.0;3.55;5.0;1.0;4.0;0.337;0.978;0.0903;0.267;28.0;7.0;0.125;3.74;19.9;9.91;0.333;0.0976;0.0;2.85;1.39;0.0;5.22;0.941;4.72;0.014;0.0705;0.352;0.375;0.53;352.0;0.437;1.26;6.0;0.0;11.0;8.0;2.0;5.0;0.0;1.0;0.0;0.0;3.0;12.0;-0.318;0.223;3.87;10.7;0.5;0.871;43.8;4.22;2.0;2.06;32.8;7.98;13.0;2550.0;1.06;13.3;12.6;0.397;0.628;-0.283;-0.0336;0.0203;-7.38E-4;1980.0;282.0;391.0;87.7;0.705;2.44;3.52;793.0;162.0;0.83;4.62;0.781;0.0258;0.115;4.0;14.0;3.0;5.0;10.6;2.08;0.253;29.0
0;6290.0;56.0;2.89;5.0;2.0;3.0;0.337;0.994;0.0949;0.231;27.0;6.0;0.0;0.0;17.6;8.91;0.333;0.103;0.0;2.91;1.42;0.0;4.68;0.876;6.44;0.0147;0.108;0.364;0.434;0.527;389.0;0.408;1.32;6.0;0.0;10.0;7.0;2.0;5.0;0.0;1.0;0.0;1.0;3.0;11.9;-0.337;0.223;3.87;10.7;0.5;0.801;38.8;3.33;2.0;2.06;38.3;7.94;13.0;4140.0;1.11;7.69;13.2;0.453;0.703;-0.328;-0.0789;0.117;-0.0245;1580.0;378.0;157.0;96.9;0.586;2.4;0.701;749.0;163.0;0.821;2.44;0.711;0.117;0.158;6.0;11.0;2.0;4.0;9.32;2.24;0.298;23.0
0;7180.0;61.0;3.55;5.0;1.0;4.0;0.303;0.764;0.0702;0.233;28.0;7.0;0.0;2.18;24.0;9.06;0.333;0.2;0.333;2.54;1.43;0.0;5.59;1.49;7.23;0.0242;0.117;0.351;0.401;0.565;472.0;0.394;1.32;6.0;0.0;13.0;7.0;2.0;4.0;0.0;2.0;0.0;0.0;3.0;11.9;-0.346;0.223;3.87;10.7;0.48;0.85;43.3;4.58;2.0;2.06;32.6;10.8;14.0;4030.0;1.1;7.85;13.2;0.403;0.7;-0.334;-0.0295;0.0309;0.0192;1970.0;298.0;339.0;92.4;0.682;2.29;1.9;772.0;162.0;0.826;2.57;0.691;0.0258;0.126;3.0;17.0;1.0;5.0;10.2;1.9;0.246;30.0
0;6580.0;60.0;3.44;5.0;1.0;4.0;0.303;0.764;0.0702;0.207;28.0;6.0;0.0;2.15;22.1;9.2;0.333;0.211;0.333;2.62;1.46;0.0;5.13;1.44;7.22;0.0255;0.128;0.353;0.418;0.565;425.0;0.385;1.34;5.0;0.0;13.0;7.0;2.0;4.0;0.0;2.0;0.0;0.0;3.0;11.9;-0.346;0.223;3.87;10.7;0.5;0.856;41.1;4.01;2.0;2.06;32.6;10.8;13.0;4050.0;1.12;6.78;12.8;0.42;0.7;-0.334;-0.0292;0.0335;0.0285;1860.0;299.0;310.0;91.7;0.671;2.37;1.9;747.0;162.0;0.821;2.06;0.691;0.0258;0.126;3.0;17.0;1.0;4.0;10.2;1.9;0.253;30.0
1;5020.0;56.0;3.44;4.0;0.0;4.0;0.412;0.843;0.0889;0.111;18.0;3.0;0.0;0.0;20.3;10.2;0.536;0.0;0.0;0.805;0.0;0.0;2.96;1.78;4.22;0.0413;0.0976;0.366;0.32;0.513;231.0;0.396;1.2;3.0;2.0;11.0;6.0;2.0;1.0;0.0;0.0;1.0;0.0;4.0;11.9;-0.309;0.252;3.96;10.4;0.476;0.959;29.9;4.36;0.0;2.04;24.4;9.99;10.0;2800.0;1.09;7.32;11.5;0.458;0.603;-0.236;-0.0678;-0.036;0.12;1280.0;361.0;92.8;101.0;0.557;0.8;3.55;580.0;235.0;0.712;3.2;0.543;0.0;0.0936;3.0;15.0;1.0;2.0;10.3;2.01;0.247;12.0
0;6640.0;65.0;3.66;4.0;0.0;5.0;0.491;1.11;0.11;0.2;18.0;3.0;0.0;0.0;27.5;9.44;0.495;0.0;0.0;0.414;0.642;0.333;2.81;2.08;3.19;0.0472;0.0725;0.432;0.358;0.502;211.0;0.41;1.29;6.0;2.0;11.0;6.0;1.0;1.0;2.0;0.0;1.0;0.0;3.0;11.9;-0.309;0.252;3.96;10.4;0.478;0.971;38.6;3.98;1.0;2.06;28.4;10.0;9.0;2550.0;1.03;9.22;11.4;0.456;0.722;-0.335;-0.0811;0.0631;0.0352;1580.0;352.0;161.0;102.0;0.593;0.722;3.28;634.0;232.0;0.732;2.3;0.65;0.0;0.144;3.0;15.0;5.0;1.0;12.8;2.78;0.211;12.0
0;5560.0;64.0;3.44;4.0;0.0;5.0;0.609;1.09;0.127;0.214;18.0;0.0;0.0;0.0;23.3;9.9;0.536;0.0;0.0;0.445;0.69;0.333;2.34;1.89;3.27;0.0503;0.0869;0.438;0.341;0.524;174.0;0.397;1.3;6.0;0.0;11.0;6.0;1.0;1.0;2.0;0.0;1.0;0.0;3.0;11.9;-0.309;0.255;4.07;10.4;0.476;0.925;36.5;3.71;1.0;2.06;28.4;10.1;8.0;2390.0;1.05;7.93;10.7;0.484;0.722;-0.336;-0.0793;0.0615;0.0381;1460.0;324.0;163.0;98.5;0.601;0.653;3.38;580.0;232.0;0.714;2.07;0.639;0.0;0.144;3.0;13.0;5.0;1.0;13.1;2.81;0.222;11.0
0;6080.0;64.0;3.55;4.0;0.0;5.0;0.491;1.14;0.11;0.241;18.0;2.0;0.0;0.0;25.3;9.63;0.514;0.0;0.0;0.429;0.664;0.333;2.37;1.74;3.23;0.0414;0.0767;0.413;0.326;0.508;190.0;0.411;1.25;7.0;0.0;11.0;6.0;1.0;1.0;2.0;0.0;1.0;0.0;3.0;11.9;-0.309;0.251;3.97;10.4;0.5;0.903;38.6;3.52;1.0;2.06;28.4;10.0;9.0;2290.0;1.05;9.48;11.0;0.463;0.724;-0.321;-0.0984;0.0598;0.0377;1640.0;316.0;220.0;99.8;0.629;0.683;3.41;628.0;224.0;0.737;3.39;0.65;0.0;0.144;3.0;13.0;5.0;2.0;13.0;2.85;0.216;11.0
